[1780928110539] replay_mouse called, events count: 578
[1780928110541] Paint HWND found, rect: 216 128 1536 864
[1780928110544] WM_SETFOCUS sent
[1780928118056] event: mousemove Some(0.5787760416666666) Some(0.3773148148148148) -> screen 1105,454
[1780928118076] event: mousemove Some(0.56640625) Some(0.44907407407407407) -> screen 1086,516
[1780928118097] event: mousemove Some(0.5462239583333334) Some(0.49189814814814814) -> screen 1055,553
[1780928118118] event: mousemove Some(0.53125) Some(0.5034722222222222) -> screen 1032,563
[1780928118138] event: mousemove Some(0.5182291666666666) Some(0.4965277777777778) -> screen 1012,557
[1780928118159] event: mousemove Some(0.4622395833333333) Some(0.4513888888888889) -> screen 926,518
[1780928118179] event: mousemove Some(0.4036458333333333) Some(0.42476851851851855) -> screen 836,495
[1780928118200] event: mousemove Some(0.3587239583333333) Some(0.4027777777777778) -> screen 767,476
[1780928118221] event: mousemove Some(0.349609375) Some(0.38078703703703703) -> screen 753,457
[1780928118241] event: mousemove Some(0.3411458333333333) Some(0.3715277777777778) -> screen 740,449
[1780928118262] event: mousemove Some(0.33984375) Some(0.3599537037037037) -> screen 738,439
[1780928118283] event: mousemove Some(0.3372395833333333) Some(0.34375) -> screen 734,425
[1780928118303] event: mousemove Some(0.326171875) Some(0.3113425925925926) -> screen 717,397
[1780928118324] event: mousemove Some(0.3229166666666667) Some(0.24189814814814817) -> screen 712,337
[1780928118344] event: mousemove Some(0.3235677083333333) Some(0.1875) -> screen 713,290
[1780928118365] event: mousemove Some(0.32421875) Some(0.1712962962962963) -> screen 714,276
[1780928118386] event: mousemove Some(0.326171875) Some(0.16203703703703703) -> screen 717,268
[1780928118406] event: mousemove Some(0.3268229166666667) Some(0.13657407407407407) -> screen 718,246
[1780928118427] event: mousemove Some(0.32421875) Some(0.11689814814814815) -> screen 714,229
[1780928118447] event: mousemove Some(0.32421875) Some(0.10648148148148148) -> screen 714,220
[1780928118468] event: mousemove Some(0.31640625) Some(0.10416666666666669) -> screen 702,218
[1780928118489] event: mousemove Some(0.3079427083333333) Some(0.10416666666666669) -> screen 689,218
[1780928118509] event: mousemove Some(0.2936197916666667) Some(0.1076388888888889) -> screen 667,221
[1780928118530] event: mousemove Some(0.2604166666666667) Some(0.10532407407407408) -> screen 616,219
[1780928118550] event: mousemove Some(0.2265625) Some(0.1087962962962963) -> screen 564,222
[1780928118571] event: mousemove Some(0.193359375) Some(0.1087962962962963) -> screen 513,222
[1780928118592] event: mousemove Some(0.18619791666666663) Some(0.1087962962962963) -> screen 502,222
[1780928118613] event: mousemove Some(0.17838541666666666) Some(0.1099537037037037) -> screen 490,223
[1780928118633] colour_select: hex=#272216
[1780928119591] event: mousemove Some(0.18489583333333337) Some(0.11458333333333331) -> screen 500,227
[1780928119612] event: mousemove Some(0.20833333333333337) Some(0.12037037037037036) -> screen 536,232
[1780928119633] event: mousemove Some(0.3118489583333333) Some(0.15162037037037038) -> screen 695,259
[1780928119653] event: mousemove Some(0.4518229166666667) Some(0.1875) -> screen 910,290
[1780928119674] event: mousemove Some(0.5182291666666666) Some(0.2013888888888889) -> screen 1012,302
[1780928119695] event: mousemove Some(0.5358072916666666) Some(0.21875) -> screen 1039,317
[1780928119715] event: mousemove Some(0.5397135416666666) Some(0.22569444444444445) -> screen 1045,323
[1780928119736] event: mousemove Some(0.552734375) Some(0.23148148148148148) -> screen 1065,328
[1780928119756] event: mousemove Some(0.55859375) Some(0.22916666666666663) -> screen 1074,326
[1780928119777] event: mousemove Some(0.564453125) Some(0.23032407407407407) -> screen 1083,327
[1780928119798] event: mousemove Some(0.568359375) Some(0.24421296296296297) -> screen 1089,339
[1780928119818] event: mousemove Some(0.5703125) Some(0.2534722222222222) -> screen 1092,347
[1780928119839] event: mousedown Some(0.5709635416666666) Some(0.26157407407407407) -> screen 1093,354
[1780928119891] event: mousemove Some(0.5852864583333334) Some(0.2488425925925926) -> screen 1115,343
[1780928119911] event: mousemove Some(0.609375) Some(0.23726851851851852) -> screen 1152,333
[1780928119932] event: mousemove Some(0.6458333333333334) Some(0.22453703703703703) -> screen 1208,322
[1780928119952] event: mousemove Some(0.658203125) Some(0.2199074074074074) -> screen 1227,318
[1780928119973] event: mousemove Some(0.6588541666666666) Some(0.23032407407407407) -> screen 1228,327
[1780928119995] event: mousemove Some(0.673828125) Some(0.21064814814814817) -> screen 1251,310
[1780928120015] event: mousemove Some(0.6881510416666666) Some(0.23032407407407407) -> screen 1273,327
[1780928120036] event: mousemove Some(0.6998697916666666) Some(0.26157407407407407) -> screen 1291,354
[1780928120056] event: mousemove Some(0.7083333333333334) Some(0.23842592592592593) -> screen 1304,334
[1780928120077] event: mousemove Some(0.734375) Some(0.22800925925925927) -> screen 1344,325
[1780928120098] event: mousemove Some(0.7682291666666666) Some(0.24074074074074073) -> screen 1396,336
[1780928120119] event: mousemove Some(0.7747395833333334) Some(0.24074074074074073) -> screen 1406,336
[1780928120140] event: mousemove Some(0.7688802083333334) Some(0.24074074074074073) -> screen 1397,336
[1780928120161] event: mouseup Some(0.7688802083333334) Some(0.24074074074074073) -> screen 1397,336
[1780928120182] event: mousemove Some(0.7513020833333334) Some(0.24421296296296297) -> screen 1370,339
[1780928120202] event: mousemove Some(0.66015625) Some(0.24768518518518515) -> screen 1230,342
[1780928120223] event: mousemove Some(0.6048177083333334) Some(0.24768518518518515) -> screen 1145,342
[1780928120244] event: mousemove Some(0.6119791666666666) Some(0.25578703703703703) -> screen 1156,349
[1780928120264] event: mousemove Some(0.62109375) Some(0.25925925925925924) -> screen 1170,352
[1780928120285] event: mousemove Some(0.6067708333333334) Some(0.2650462962962963) -> screen 1148,357
[1780928120305] event: mousemove Some(0.6119791666666666) Some(0.26157407407407407) -> screen 1156,354
[1780928120326] event: mousedown Some(0.6119791666666666) Some(0.26157407407407407) -> screen 1156,354
[1780928120359] event: mousemove Some(0.6334635416666666) Some(0.2453703703703704) -> screen 1189,340
[1780928120379] event: mousemove Some(0.638671875) Some(0.2465277777777778) -> screen 1197,341
[1780928120400] event: mousemove Some(0.6497395833333334) Some(0.25925925925925924) -> screen 1214,352
[1780928120421] event: mousemove Some(0.7005208333333334) Some(0.2662037037037037) -> screen 1292,358
[1780928120441] event: mousemove Some(0.7610677083333334) Some(0.26851851851851855) -> screen 1385,360
[1780928120462] event: mousemove Some(0.7688802083333334) Some(0.26157407407407407) -> screen 1397,354
[1780928120483] event: mousemove Some(0.7623697916666666) Some(0.26157407407407407) -> screen 1387,354
[1780928120505] event: mouseup Some(0.7623697916666666) Some(0.26157407407407407) -> screen 1387,354
[1780928120526] event: mousemove Some(0.7526041666666666) Some(0.29282407407407407) -> screen 1372,381
[1780928120547] event: mousemove Some(0.7356770833333334) Some(0.31828703703703703) -> screen 1346,403
[1780928120567] event: mousemove Some(0.693359375) Some(0.36921296296296297) -> screen 1281,447
[1780928120588] event: mousemove Some(0.626953125) Some(0.4375) -> screen 1179,506
[1780928120609] event: mousemove Some(0.583984375) Some(0.44560185185185186) -> screen 1113,513
[1780928120630] event: mousemove Some(0.50390625) Some(0.4212962962962963) -> screen 990,492
[1780928120651] event: mousemove Some(0.447265625) Some(0.3993055555555556) -> screen 903,473
[1780928120672] event: mousemove Some(0.4388020833333333) Some(0.3680555555555556) -> screen 890,446
[1780928120692] event: mousemove Some(0.4290364583333333) Some(0.33912037037037035) -> screen 875,421
[1780928120713] event: mousemove Some(0.4231770833333333) Some(0.32523148148148145) -> screen 866,409
[1780928120734] event: mousemove Some(0.4147135416666667) Some(0.2604166666666667) -> screen 853,353
[1780928120755] event: mousemove Some(0.4088541666666667) Some(0.19560185185185183) -> screen 844,297
[1780928120776] event: mousemove Some(0.3997395833333333) Some(0.1921296296296296) -> screen 830,294
[1780928120796] event: mousemove Some(0.3639322916666667) Some(0.19444444444444445) -> screen 775,296
[1780928120817] event: mousemove Some(0.3385416666666667) Some(0.18518518518518515) -> screen 736,288
[1780928120839] event: mousemove Some(0.322265625) Some(0.17476851851851852) -> screen 711,279
[1780928120859] event: mousemove Some(0.3053385416666667) Some(0.14814814814814814) -> screen 685,256
[1780928120880] event: mousemove Some(0.3092447916666667) Some(0.13657407407407407) -> screen 691,246
[1780928120901] event: mousemove Some(0.3151041666666667) Some(0.11805555555555557) -> screen 700,230
